id;stationName;cityDistrict;coordinateX;coordinateY
1602;Litoměřická 583/18;Prague 9;-737173.84;-1040287.22
1603;Veltruská 608/4;Prague 9;-737451.351597;-1040053.20577
1605;Litvínovská 518/40;Prague 9;-737584.891107;-1039930.64971
1606;Litvínovská 286/15;Prague 9;-737642.948326;-1039655.58688
1607;Litoměřická 62/38;Prague 9;-737845.395354;-1039840.96508
1608;Habartická 547/1;Prague 9;-738227.73;-1040045.25
1609;Teplická 284/12;Prague 9;-737802.433651;-1039656.63657
1610;Vysočanská 240/107;Prague 9;-737401.971931;-1039476.42595
1611;Vysočanská 547/83;Prague 9;-737241.673043;-1039725.94581
1612;Vysočanská 563/59;Prague 9;-737085.981297;-1039977.07112
1613;Pískovcová 736/8;Prague 9;-736858.391513;-1040544.30202
1614;Jetřichovická 742/8;Prague 9;-736155.469554;-1039787.54233
1615;Lovosická 772/10;Prague 9;-736368.02;-1039715.3
1616;Kovanecká 2284/21;Prague 9;-737916.22;-1041370.82
1617;Poleradská 374/8;Prague 9;-736560.323107;-1039979.66469
1619;Českolipská 400/20;Prague 9;-736787.766173;-1039581.39206
1620;Žandovská 304/13;Prague 9;-736962.28;-1039217.38
1621;Šluknovská 321/2;Prague 9;-737200.21;-1039362.71
1623;Jablonecká 419/64;Prague 9;-737098.24;-1039650.09
1624;Jablonecká 708/30;Prague 9;-736825.786968;-1039903.00815
1625;Jablonecká 718/3;Prague 9;-736717.139135;-1040078.31355
1626;Prosecká 681/119;Prague 9;-736515.95;-1040148.51
1630;Kovanecká 2107/8;Prague 9;-738108.743113;-1041458.21347
1631;Staromlýnská 621/5;Prague 9;-736986.249885;-1041391.26699
1632;Čihákova 2144/42;Prague 9;-737539.477536;-1041392.83422
1634;Podvinný mlýn 2126/1;Prague 9;-737938.86;-1041589.06
1635;náměstí Na Balabence 1433/8;Prague 9;-738217.75;-1041618.74
1636;Kovanecká 2295/9;Prague 9;-737978.07;-1041362.69
1638;Lihovarská 1270/11;Prague 9;-737939.34;-1041751.38
1640;Drahobejlova 956/51;Prague 9;-737492.92;-1041603.89
1641;Odlehlá 326/60;Prague 9;-738070.835471;-1042446.2256
1642;Skloněná 551/12;Prague 9;-737923.647752;-1042260.31257
1643;Jahodnická 117/16;Prague 9;-735127.72;-1043320.62
1645;Jablonecká 714/40;Prague 9;-736961.32;-1039828.88
1646;Novoborská 649/9;Prague 9;-736563.231781;-1039683.77655
1647;Nad Krocínkou 372/41;Prague 9;-736571.13164;-1040641.61174
1648;Stoupající 646/8;Prague 9;-736433.526313;-1040403.35384
1650;Pod Krocínkou 847/36;Prague 9;-736026.87446;-1040722.98077
1651;Pešlova 356/12;Prague 9;-736897.59;-1041094.67
1652;Pešlova 94/6;Prague 9;-737014;-1041119.93
1653;Pod Strojírnami 707/13;Prague 9;-736316.95;-1041405.39
1654;U Harfy 229/14;Prague 9;-736705.742416;-1042322.28061
1655;Vysočanské náměstí 218/4;Prague 9;-737659.666244;-1042222.12799
1656;Na Vyhlídce 410/34;Prague 9;-737690.7;-1040301.31
1657;Děčínská 464/3;Prague 9;-737765.050041;-1039345.95956
1658;Pod Krocínkou 740/57;Prague 9;-736185.29;-1040921.4
1659;U Vysočanského pivovaru 427/24;Prague 9;-736454.431044;-1041538.45254
1661;Na Harfě 249/2;Prague 9;-736894.417393;-1042160.58767
1662;Lovosická 661/1;Prague 9;-736275.628603;-1039861.83095
1663;Na rozcestí 1328/8;Prague 9;-738076.27;-1041743.36
1664;Jablonecká 365/11;Prague 9;-737135.88;-1039499.14
1665;Nad Kolčavkou 120/10;Prague 9;-738124.893179;-1041395.85183
1666;Varnsdorfská 346/12;Prague 9;-736850.166738;-1039377.0537
1667;Cvikovská 376/6;Prague 9;-736813.508412;-1039459.4752
1669;Na Vyhlídce 463/2;Prague 9;-737909.51;-1040188.87
1670;U prosecké školy 92/19;Prague 9;-737256.506235;-1040516.99839
1671;Nad Šestikopy 461/18;Prague 9;-736970.26;-1040496.27
1672;Odlehlá 321/67;Prague 9;-737946.56;-1042430.89
1673;U schodů 180/9;Prague 9;-736090.577352;-1042780.27097
1674;Mezitraťová 347/34;Prague 9;-735879.42;-1042578.58
1675;U Vysočanského pivovaru 419/10;Prague 9;-736598.92;-1041509.27
1676;Českobrodská 1091/38;Prague 9;-735390.14;-1043337.36
1677;Celniční 230;Prague 9;-735085.421975;-1043146.04443
1678;Klečákova 220/2;Prague 9;-737126.828448;-1042089.75788
1680;Horní Hrdlořezská 69/2;Prague 9;-736534.175095;-1043401.33275
1681;Před mosty 2;Prague 9;-735545.033004;-1043121.74762
1682;Českobrodská 70/32;Prague 9;-736025.000341;-1043347.43271
1683;Na Břehu 567/7;Prague 9;-737115.88;-1041350.73
1684;Jahodnická 208/17;Prague 9;-735377.064165;-1043244.66671
1687;Teplická 274/32;Prague 9;-737649.654464;-1039486.76642
1688;Pešlova 341/3;Prague 9;-736809.74;-1041091.09
1690;Mlékárenská 32/5;Prague 9;-736861.748402;-1041505.37261
1691;Rubeška 383/4;Prague 9;-737182.67;-1041127.97
1693;Na Vyhlídce 47/76;Prague 9;-737153.33;-1040472.63
1695;Habartická 500/48;Prague 9;-737954.68;-1039825.12
1697;U Smetanky 191/5;Prague 9;-736241.02;-1043282.89
1698;Paříkova 354/5;Prague 9;-737024.779822;-1041173.00005
1699;Kytlická 764/33;Prague 9;-736454.878262;-1039559.58251
1700;Na Vysočanských vinicích 824/8;Prague 9;-736243.56;-1040755.2
1701;Na Krocínce 784/13;Prague 9;-736611.56;-1040753.18
1702;Zárybská 669/12;Prague 9;-736379.712517;-1039949.77603
1703;Kolbenova 805/32;Prague 9;-736061.62158;-1041331.42686
1704;Litoměřická 577/6;Prague 9;-737083.07;-1040234.7
1705;Novoborská 620/27;Prague 9;-736699.51;-1039542.91
1708;Na Břehu 634/19;Prague 9;-736888.417827;-1041594.03513
1709;Prosecká 37/40;Prague 9;-737264.976074;-1040576.70149
1711;Litvínovská 600/1;Prague 9;-737285.718235;-1040180.55905
1712;Podvinný mlýn 2281/12;Prague 9;-737826.28;-1041103.02
1713;Skloněná 308/16;Prague 9;-737838.104262;-1042174.01703
1714;Vysočanská 233/93;Prague 9;-737331.66;-1039581.77
1715;Vysočanská 554/69;Prague 9;-737169.47952;-1039854.085
1716;Vysočanská 572/41;Prague 9;-736994.59;-1040116.51
1718;Novoborská 371/10;Prague 9;-736844.094252;-1039334.42318
1719;Trmická 0;Prague 9;-736992.022292;-1040371.01256
1720;Nad šestikopy 835/5;Prague 9;-737044.970216;-1040438.2604
1721;Zakšínská 571/8;Prague 9;-736943.294346;-1039016.74365
1722;Novovysočanská 505/8;Prague 9;-738089.794471;-1042254.12285
1723;Litoměřická 839/15;Prague 9;-737578.9;-1040169.68
